2015-03-30#6:55 AM#51#68#1#9506.21
2015-03-30#11:45 AM#91#88#2#1245.83
2015-03-30#5:06 PM#51#58#10#6464.04
2015-03-30#1:30 PM#77#49#6#102.77
2015-03-30#10:38 PM#72#26#5#3869.79
2015-03-30#6:15 AM#33#60#10#7268.66
2015-03-30#10:45 AM#14#42#3#8030.21
2015-03-30#8:53 AM#39#28#6#3998.39
2015-03-30#9:21 AM#35#19#9#1071.05
2015-03-30#6:46 AM#98#74#8#8503.43
2015-03-30#6:48 AM#50#98#3#9441.46
2015-03-30#2:56 PM#25#15#8#8541.91
2015-03-30#10:41 PM#9#55#3#2578.98
2015-03-30#1:23 PM#22#81#3#2968.02
2015-03-30#6:15 AM#74#14#5#1878.61
2015-03-30#6:42 AM#88#96#4#6125.71
2015-03-30#8:53 AM#22#52#2#1762.97
2015-03-30#1:11 AM#67#58#9#6688.75
2015-03-30#9:02 PM#87#15#3#1578.54
2015-03-30#3:36 PM#58#34#2#1920.26
2015-03-30#4:51 PM#93#23#5#3600.68
2015-03-30#2:59 AM#64#53#4#2191.82
2015-03-30#2:40 PM#56#89#6#2889.39
2015-03-30#6:25 PM#44#68#2#2501.45
2015-03-30#3:30 PM#70#5#4#43.97
2015-03-30#3:36 AM#89#53#3#2601.59
2015-03-30#6:20 AM#23#78#1#8189.53
2015-03-30#4:36 AM#56#44#7#2645.7
2015-03-30#3:17 AM#89#30#4#2375.19
2015-03-30#5:49 AM#79#58#4#8610.89
2015-03-30#2:42 PM#53#94#1#921.65
2015-03-30#6:52 PM#1#1#1#8832.77
2015-03-30#6:15 PM#76#93#3#7430.97
2015-03-30#5:24 AM#68#55#7#6149.49
2015-03-30#4:32 AM#8#44#3#7000.31
2015-03-30#1:28 PM#39#11#8#3876.52
2015-03-30#2:45 PM#37#49#6#4037.22
2015-03-30#11:01 AM#63#79#7#7740.83
2015-03-30#4:15 PM#63#15#7#6968.45
2015-03-30#8:30 AM#53#38#5#4000.92
2015-03-30#5:53 PM#92#1#5#7569.41
2015-03-30#9:35 PM#20#34#3#7100.2
2015-03-30#12:36 AM#83#83#10#8352.25
2015-03-30#6:24 AM#86#45#7#672.8
2015-03-30#5:05 AM#63#24#8#4614.66
2015-03-30#11:19 AM#71#30#9#1615.88
2015-03-30#6:38 AM#66#62#7#1073.18
2015-03-30#7:31 AM#76#58#7#7476.21
2015-03-30#10:22 PM#92#17#3#2151.64
2015-03-30#8:14 AM#94#70#2#3124.27
2015-03-30#4:07 AM#50#6#5#110.64
2015-03-30#10:08 AM#94#13#9#493.11
2015-03-30#11:13 AM#54#46#8#4642.38
2015-03-30#7:55 PM#80#79#3#3346.51
2015-03-30#2:39 PM#83#17#3#5293.74
2015-03-30#8:26 PM#14#12#3#6015.06
2015-03-30#2:38 PM#16#72#4#8911.03
2015-03-30#12:05 PM#55#100#7#5491.84
2015-03-30#12:18 AM#56#57#8#6295.07
2015-03-30#8:47 AM#13#45#3#5648.27
2015-03-30#8:37 AM#21#38#6#4742.07
2015-03-30#3:02 AM#85#93#4#388.37
2015-03-30#12:59 AM#95#92#7#4073.94
2015-03-30#3:05 AM#34#93#6#9997.62
2015-03-30#6:33 PM#70#13#9#8429.26
2015-03-30#2:30 AM#68#58#4#8034.96
2015-03-30#10:03 AM#43#59#1#997.24
2015-03-30#4:35 PM#76#58#6#1259.25
2015-03-30#9:28 PM#11#66#6#2237.87
2015-03-30#1:48 PM#24#23#10#5373.6
2015-03-30#9:34 AM#27#26#9#8141.55
2015-03-30#2:34 AM#91#64#10#3630.52
2015-03-30#7:55 AM#44#61#8#4947.33
2015-03-30#8:32 AM#60#89#6#7245.57
2015-03-30#11:39 AM#9#66#10#3023.69
2015-03-30#1:54 PM#3#28#1#8738.44
2015-03-30#11:46 AM#82#28#9#907.34
2015-03-30#10:39 AM#86#15#1#2906.43
2015-03-30#5:20 PM#2#6#3#3458.0
2015-03-30#7:18 PM#33#87#8#592.08
2015-03-30#6:28 PM#2#65#5#430.64
2015-03-30#1:32 AM#32#70#1#5478.96
2015-03-30#1:04 PM#45#100#6#7839.62
2015-03-30#3:46 AM#35#80#10#3816.54
2015-03-30#11:55 PM#47#44#2#863.05
2015-03-30#8:00 PM#33#17#6#5155.23
2015-03-30#6:06 AM#53#12#6#2174.02
2015-03-30#8:26 AM#3#100#2#316.43
2015-03-30#5:13 AM#17#4#9#9676.44
2015-03-30#12:08 AM#81#12#8#4001.83
2015-03-30#7:38 AM#25#91#1#9653.88
2015-03-30#4:10 PM#94#4#6#4674.32
2015-03-30#1:54 PM#92#29#1#4412.97
2015-03-30#3:44 AM#53#47#1#7556.32
2015-03-30#8:45 AM#10#17#2#7080.17
2015-03-30#5:34 AM#100#25#1#7520.96
2015-03-30#10:39 PM#21#27#8#1551.15
2015-03-30#12:31 PM#17#46#5#1279.4
2015-03-30#1:40 AM#95#98#9#3193.89
2015-03-30#10:41 PM#100#98#5#1491.22
2015-03-30#4:21 AM#5#96#9#4819.98
2015-03-30#6:22 AM#18#62#4#2890.06
2015-03-30#2:21 AM#63#59#1#5132.83
2015-03-30#4:25 AM#45#59#7#4733.71
2015-03-30#2:57 AM#23#98#5#7128.24
2015-03-30#1:48 PM#31#70#10#1599.81
2015-03-30#12:24 PM#33#44#8#9968.64
2015-03-30#7:10 PM#100#59#2#2763.49
2015-03-30#3:00 AM#37#29#9#4981.96
2015-03-30#4:25 PM#49#34#5#2898.35
2015-03-30#2:59 PM#35#64#6#8846.59
2015-03-30#11:03 PM#56#54#10#9826.83
2015-03-30#8:56 PM#56#75#2#1142.07
2015-03-30#7:52 AM#41#11#2#9183.82
2015-03-30#11:15 PM#9#60#9#4286.21
2015-03-30#4:20 PM#25#29#7#3605.56
2015-03-30#12:29 AM#81#69#10#8675.77
2015-03-30#7:52 AM#58#5#7#9782.39
2015-03-30#6:45 PM#81#58#3#6152.37
2015-03-30#2:22 AM#28#87#10#2200.22
2015-03-30#4:19 AM#49#91#9#4155.14
2015-03-30#7:38 AM#30#1#5#2516.55
2015-03-30#1:40 PM#30#97#3#8541.41
2015-03-30#4:30 PM#93#89#2#4389.63
2015-03-30#1:46 PM#70#88#5#3722.23
2015-03-30#5:57 AM#68#62#6#2387.93
2015-03-30#3:01 PM#28#27#8#8013.38
2015-03-30#5:57 PM#22#57#4#5034.74
2015-03-30#9:50 PM#40#69#3#6293.45
2015-03-30#7:06 AM#62#88#5#4325.13
2015-03-30#12:07 PM#75#28#2#1236.11
2015-03-30#9:24 AM#96#88#8#3704.15
2015-03-30#11:40 PM#29#44#6#7914.25
2015-03-30#3:18 PM#2#31#7#1228.16
2015-03-30#6:43 PM#90#99#8#6491.8
2015-03-30#2:20 AM#35#57#7#8589.24
2015-03-30#7:21 PM#25#40#8#261.75
2015-03-30#1:34 AM#16#28#5#3535.21
2015-03-30#9:28 AM#70#60#5#8481.71
2015-03-30#9:10 PM#99#68#4#8379.2
2015-03-30#4:49 PM#13#85#2#8958.25
2015-03-30#4:48 PM#2#15#4#8047.42
2015-03-30#1:07 AM#68#25#9#8391.61
2015-03-30#12:31 PM#30#51#8#1593.48
2015-03-30#12:42 PM#64#71#5#5747.07
2015-03-30#4:48 PM#33#41#9#8236.58
2015-03-30#7:10 AM#2#60#7#6674.13
2015-03-30#1:08 AM#47#16#7#4072.93
2015-03-30#2:29 AM#38#13#8#5789.9
2015-03-30#11:47 AM#59#46#1#3206.82
2015-03-30#9:51 AM#59#8#5#6676.12
2015-03-30#6:32 AM#87#14#3#1645.72
2015-03-30#8:41 PM#97#2#7#3955.35
2015-03-30#2:39 PM#55#65#8#1990.7
2015-03-30#9:08 AM#29#100#7#577.04
2015-03-30#7:51 PM#77#58#7#7566.47
2015-03-30#10:22 AM#81#91#7#6124.59
2015-03-30#1:09 PM#96#97#10#5128.81
2015-03-30#9:24 PM#5#24#6#9059.63
2015-03-30#2:22 AM#56#81#4#2490.67
2015-03-30#3:41 AM#31#62#7#8571.99
2015-03-30#1:20 AM#22#23#1#7196.35
2015-03-30#1:48 PM#42#64#1#8749.65
2015-03-30#12:39 AM#40#50#10#2535.81
2015-03-30#6:17 AM#56#55#2#6394.6
2015-03-30#6:29 AM#61#41#3#1414.59
2015-03-30#12:02 PM#15#39#5#5647.39
2015-03-30#4:44 PM#32#8#4#5704.8
2015-03-30#1:39 AM#65#89#1#5794.17
2015-03-30#2:12 AM#23#96#3#1428.89
2015-03-30#11:44 AM#22#7#4#5690.33
2015-03-30#3:46 PM#41#28#1#7785.36
2015-03-30#11:43 AM#79#7#7#3760.73
2015-03-30#8:53 PM#4#4#1#2124.75
2015-03-30#8:47 AM#46#100#5#1852.93
2015-03-30#11:01 AM#73#29#2#289.84
2015-03-30#7:35 AM#13#45#1#7577.26
2015-03-30#1:23 AM#59#25#5#5296.69
2015-03-30#6:27 AM#84#59#9#7023.54
2015-03-30#3:40 AM#82#81#6#3665.45
2015-03-30#8:11 PM#29#79#3#5782.36
2015-03-30#4:35 AM#93#72#8#3041.75
2015-03-30#9:07 PM#83#13#7#3378.88
2015-03-30#3:03 PM#98#7#3#1516.26
2015-03-30#4:32 PM#31#76#3#5124.78
2015-03-30#5:43 AM#50#26#9#3073.51
2015-03-30#12:01 PM#2#79#9#8544.09
2015-03-30#6:15 AM#93#30#7#5927.94
2015-03-30#8:39 AM#91#54#7#33.93
2015-03-30#10:05 AM#28#95#3#7411.42
2015-03-30#7:32 PM#63#31#5#9567.84
2015-03-30#5:39 PM#29#14#6#910.48
2015-03-30#11:07 PM#13#67#6#646.11
2015-03-30#11:32 PM#65#90#5#8100.27
2015-03-30#10:25 AM#53#30#2#5107.0
2015-03-30#3:45 PM#82#65#8#9426.52
2015-03-30#1:48 AM#53#58#4#718.93
2015-03-30#2:50 PM#70#35#3#5786.61
2015-03-30#8:22 AM#26#51#7#3343.19
2015-03-30#4:43 AM#64#76#6#9036.63
2015-03-30#10:36 AM#57#80#9#7470.5
2015-03-30#6:01 PM#86#1#4#5830.67
2015-03-30#9:12 PM#79#6#5#1545.68
2015-03-30#3:41 AM#78#42#3#3089.03
2015-03-30#6:32 PM#87#67#5#6444.14
2015-03-30#8:47 PM#40#26#8#1953.15
2015-03-30#6:49 PM#26#72#10#7722.44
2015-03-30#4:03 PM#59#92#4#7981.8
2015-03-30#9:31 AM#53#18#4#8214.79
2015-03-30#2:48 AM#27#70#3#9034.18
2015-03-30#4:53 AM#32#34#1#9070.14
2015-03-30#4:14 PM#65#52#10#8297.92
2015-03-30#2:04 PM#17#28#9#1508.74
2015-03-30#2:45 PM#3#79#4#7768.84
2015-03-30#12:17 AM#11#78#9#7168.76
2015-03-30#12:21 PM#3#69#1#1705.26
2015-03-30#8:41 PM#83#34#6#7883.47
2015-03-30#12:46 PM#2#74#7#1519.38
2015-03-30#7:03 AM#91#30#6#6847.76
2015-03-30#9:04 AM#53#68#4#9246.59
2015-03-30#12:39 AM#31#58#10#6882.94
2015-03-30#4:15 AM#18#89#5#7115.13
2015-03-30#3:10 PM#50#27#10#1147.25
2015-03-30#6:55 PM#50#84#9#7980.61
2015-03-30#4:58 PM#74#13#4#8261.6
2015-03-30#6:38 PM#68#58#5#3145.16
2015-03-30#3:08 AM#20#41#8#4455.08
2015-03-30#1:19 PM#12#88#8#5537.39
2015-03-30#8:12 AM#32#68#7#1731.6
2015-03-30#4:13 AM#58#30#4#5319.65
2015-03-30#11:18 PM#12#86#9#8279.39
2015-03-30#3:46 AM#19#74#2#5488.59
2015-03-30#4:59 AM#69#68#9#688.16
2015-03-30#4:49 PM#24#60#2#4336.67
2015-03-30#1:53 PM#33#91#4#8752.54
2015-03-30#2:12 AM#50#45#3#6189.34
2015-03-30#9:40 PM#99#96#10#4721.94
2015-03-30#12:20 AM#76#93#4#2020.58
2015-03-30#7:38 PM#31#82#9#3291.8
2015-03-30#4:15 PM#94#72#8#943.45
2015-03-30#6:42 AM#92#52#7#6787.87
2015-03-30#2:00 AM#46#51#8#5486.68
2015-03-30#11:15 PM#51#6#5#166.26
2015-03-30#5:05 AM#55#4#5#6579.46
2015-03-30#5:14 AM#74#95#2#9471.35
2015-03-30#9:35 PM#97#24#10#1508.06
2015-03-30#9:12 AM#21#69#2#8814.97
2015-03-30#10:34 PM#92#99#6#5059.24
2015-03-30#10:34 PM#19#18#4#2877.21
2015-03-30#8:01 AM#80#96#9#5610.74
2015-03-30#5:56 AM#27#24#3#5969.72
2015-03-30#4:52 AM#5#93#8#640.62
2015-03-30#5:19 PM#10#46#10#7693.73
2015-03-30#8:28 AM#54#47#9#569.44
2015-03-30#2:32 AM#96#81#2#1746.11
2015-03-30#2:44 AM#79#65#5#5275.39
2015-03-30#3:20 PM#93#59#9#433.48
2015-03-30#8:23 PM#65#61#8#437.37
2015-03-30#7:43 AM#7#31#1#7076.32
2015-03-30#11:59 AM#64#53#5#5673.18
2015-03-30#9:17 AM#41#36#6#1412.81
2015-03-30#10:44 AM#49#67#3#5050.58
2015-03-30#2:42 PM#97#53#4#8013.11
2015-03-30#6:57 PM#15#4#5#153.69
2015-03-30#9:45 AM#42#25#10#1363.97
2015-03-30#10:40 PM#17#52#3#2162.62
2015-03-30#6:58 AM#24#30#9#3111.34
2015-03-30#11:54 AM#64#58#8#5732.65
2015-03-30#9:55 PM#4#10#1#2604.97
2015-03-30#12:04 PM#25#100#4#4288.55
2015-03-30#7:16 AM#45#34#9#1148.49
2015-03-30#4:26 PM#39#56#9#9489.73
2015-03-30#8:17 PM#56#61#10#6594.23
2015-03-30#10:40 PM#77#25#3#3345.81
2015-03-30#9:01 PM#7#58#10#8226.64
2015-03-30#8:57 PM#3#65#4#2660.19
2015-03-30#2:08 PM#43#58#6#5799.15
2015-03-30#1:51 AM#53#40#1#4095.5
2015-03-30#3:34 PM#76#23#3#9679.92
2015-03-30#9:00 PM#59#9#7#3829.76
2015-03-30#6:42 PM#65#94#4#8383.04
2015-03-30#3:43 AM#73#10#9#6476.94
2015-03-30#9:56 PM#91#5#7#1729.99
2015-03-30#5:42 AM#93#44#7#3525.69
2015-03-30#8:38 AM#82#97#8#5532.05
2015-03-30#7:20 PM#43#61#4#4967.21
2015-03-30#1:14 AM#1#89#2#7226.59
2015-03-30#7:32 PM#51#36#4#4282.54
2015-03-30#3:18 PM#29#64#10#920.01
2015-03-30#12:07 PM#98#45#6#8282.26
2015-03-30#7:43 PM#61#73#8#1280.17
2015-03-30#10:17 AM#69#40#4#4365.02
2015-03-30#6:27 AM#71#19#6#9954.39
2015-03-30#1:53 PM#53#85#9#1630.24
2015-03-30#9:29 PM#55#83#10#9631.43
2015-03-30#5:34 PM#75#61#9#3484.88
2015-03-30#12:57 PM#92#90#8#6251.15
2015-03-30#6:07 PM#48#62#4#1601.63
2015-03-30#2:33 PM#5#18#9#806.53
2015-03-30#10:17 AM#82#100#2#1734.07
2015-03-30#7:16 AM#78#4#5#4826.26
2015-03-30#5:06 AM#42#86#8#913.85
2015-03-30#7:32 AM#3#11#5#9587.82
2015-03-30#9:28 AM#89#51#7#6485.82
2015-03-30#4:37 AM#99#53#1#5451.75
2015-03-30#8:02 AM#46#65#6#4319.17
2015-03-30#11:09 AM#58#88#9#3334.07
2015-03-30#12:53 PM#57#35#9#715.3
2015-03-30#12:04 AM#97#91#4#8752.93
2015-03-30#7:29 AM#45#80#3#7899.43
2015-03-30#4:48 PM#94#70#3#4358.93
2015-03-30#1:06 AM#21#84#1#6771.42
2015-03-30#9:24 AM#61#96#10#7234.52
2015-03-30#10:39 PM#47#81#10#1122.89
2015-03-30#5:25 AM#7#64#1#4778.61
2015-03-30#4:17 AM#79#51#2#6503.89
2015-03-30#5:34 AM#18#87#5#2635.86
2015-03-30#1:14 PM#76#58#5#6408.41
2015-03-30#2:46 PM#45#22#6#9895.7
2015-03-30#12:36 PM#71#100#5#9072.05
2015-03-30#7:07 PM#40#96#4#9307.77
2015-03-30#8:07 PM#58#93#8#6313.97
2015-03-30#6:17 AM#44#91#3#3510.81
2015-03-30#6:51 PM#53#100#1#1694.52
2015-03-30#1:22 PM#3#6#6#7555.78
2015-03-30#6:07 PM#27#24#5#8518.31
2015-03-30#4:05 AM#25#16#8#4781.59
2015-03-30#8:05 AM#26#28#8#4881.01
2015-03-30#11:14 AM#10#30#9#5720.93
2015-03-30#7:15 AM#4#7#1#6614.49
2015-03-30#5:39 AM#18#98#10#1900.44
2015-03-30#2:03 AM#98#77#3#4831.92
2015-03-30#10:08 AM#50#14#3#7617.54
2015-03-30#12:53 AM#41#75#6#400.76
2015-03-30#7:09 AM#65#93#1#7392.74
2015-03-30#7:08 PM#77#61#2#4382.38
2015-03-30#9:03 PM#39#5#6#5246.4
2015-03-30#6:45 AM#83#30#2#3395.0
2015-03-30#3:17 AM#99#1#5#3744.55
2015-03-30#4:32 AM#13#36#3#1894.45
2015-03-30#7:58 AM#17#44#7#6355.24
2015-03-30#2:32 PM#51#87#3#2801.82
2015-03-30#9:34 PM#100#31#7#4238.81
2015-03-30#1:58 AM#40#62#2#8729.03
2015-03-30#9:02 AM#25#45#9#5178.2
2015-03-30#4:22 PM#83#68#7#9513.36
2015-03-30#1:43 PM#96#58#10#2536.22
2015-03-30#11:57 PM#13#44#8#2588.37
2015-03-30#10:25 PM#44#13#2#8686.2
2015-03-30#4:48 PM#3#99#8#2896.21
2015-03-30#12:53 PM#22#25#9#6996.42
2015-03-30#8:13 PM#26#89#6#8779.31
2015-03-30#10:43 AM#34#22#5#8495.57
2015-03-30#3:02 AM#66#86#4#8355.68
2015-03-30#12:40 PM#55#23#6#5809.43
2015-03-30#3:53 AM#46#37#9#5651.07
2015-03-30#9:55 AM#33#7#1#9162.34
2015-03-30#10:35 AM#25#78#2#1723.78
2015-03-30#7:27 AM#55#61#3#5037.86
2015-03-30#6:25 PM#58#22#2#682.74
2015-03-30#10:40 PM#5#86#4#1873.65
2015-03-30#2:32 PM#17#15#9#6590.08
2015-03-30#8:53 AM#84#92#4#9427.71
2015-03-30#1:43 PM#21#64#6#9504.36
2015-03-30#11:58 PM#97#11#6#105.34
2015-03-30#4:02 AM#1#82#10#7715.36
2015-03-30#12:37 PM#13#27#2#7607.6
2015-03-30#1:53 AM#20#100#9#2287.45
2015-03-30#9:01 PM#87#37#7#2444.49
2015-03-30#12:46 PM#78#5#4#9121.01
2015-03-30#3:49 AM#34#48#8#9917.27
2015-03-30#7:12 PM#100#51#2#4332.29
2015-03-30#12:44 AM#32#25#8#8849.5
2015-03-30#12:53 PM#84#81#1#5587.7
2015-03-30#3:28 AM#21#59#1#522.33
2015-03-30#5:57 AM#81#36#3#4973.22
2015-03-30#1:54 PM#14#29#6#8266.28
2015-03-30#7:46 PM#68#34#8#6554.66
2015-03-30#9:28 AM#47#44#10#9666.09
2015-03-30#7:23 AM#9#15#9#7095.99
2015-03-30#12:21 AM#57#60#2#7902.36
2015-03-30#11:34 PM#85#7#8#3963.7
2015-03-30#9:32 PM#28#11#8#4092.2
2015-03-30#7:39 PM#53#100#8#7885.35
2015-03-30#3:36 PM#16#94#8#980.18
2015-03-30#2:16 AM#78#98#3#567.99
2015-03-30#7:14 PM#45#7#8#7068.4
2015-03-30#12:12 PM#1#57#2#3614.79
2015-03-30#1:12 AM#75#36#1#8870.88
2015-03-30#7:05 AM#34#50#8#3480.34
2015-03-30#12:14 AM#97#44#9#1414.53
2015-03-30#11:02 AM#16#81#9#9063.74
2015-03-30#12:57 PM#41#77#9#1904.05
2015-03-30#1:02 AM#45#56#2#9859.09
2015-03-30#11:09 PM#82#90#4#8500.77
2015-03-30#8:55 PM#3#26#1#3983.0
2015-03-30#12:41 AM#90#28#8#3550.02
2015-03-30#11:55 AM#79#50#5#4443.73
2015-03-30#3:58 PM#6#28#8#4583.49
2015-03-30#9:18 PM#39#4#6#1150.61
2015-03-30#1:48 PM#55#48#10#3388.82
2015-03-30#1:41 AM#22#82#2#9000.0
2015-03-30#10:15 AM#52#93#7#7249.17
2015-03-30#8:52 PM#73#62#9#2569.18
2015-03-30#10:20 AM#80#12#8#8460.09
2015-03-30#9:46 AM#90#5#3#8296.02
2015-03-30#3:21 AM#28#14#2#4063.69
2015-03-30#7:19 AM#39#50#3#2581.23
2015-03-30#10:29 AM#50#58#4#1280.48
2015-03-30#6:09 PM#85#22#6#494.03
2015-03-30#6:29 AM#15#57#1#9549.11
2015-03-30#2:04 AM#6#51#5#8844.54
2015-03-30#12:13 AM#66#58#1#2569.9
2015-03-30#10:15 AM#8#22#6#7611.51
2015-03-30#7:22 PM#55#92#2#8109.09
2015-03-30#2:20 AM#100#58#10#5351.36
2015-03-30#7:31 PM#84#50#8#2182.6
2015-03-30#2:12 PM#36#98#3#8334.22
2015-03-30#6:33 PM#38#76#4#8317.54
2015-03-30#5:48 PM#96#78#9#3471.19
2015-03-30#4:17 AM#85#8#5#6157.27
2015-03-30#12:26 PM#43#70#1#4259.74
2015-03-30#2:54 PM#10#81#10#9897.61
2015-03-30#8:55 PM#63#46#8#4216.37
2015-03-30#5:30 PM#75#25#10#3557.01
2015-03-30#9:52 PM#29#58#8#4423.84
2015-03-30#1:44 PM#18#42#1#5558.75
2015-03-30#5:49 PM#58#32#2#6766.38
2015-03-30#2:48 PM#94#97#4#3692.97
2015-03-30#12:29 AM#13#53#8#2376.66
2015-03-30#11:05 PM#51#81#4#3296.35
2015-03-30#4:11 AM#27#59#4#7949.36
2015-03-30#2:17 PM#26#68#3#7071.04
2015-03-30#8:03 AM#56#56#5#102.47
2015-03-30#11:42 PM#75#73#10#8196.51
2015-03-30#1:24 AM#25#9#4#7848.42
2015-03-30#2:44 PM#91#12#7#5487.02
2015-03-30#5:04 AM#83#1#8#5208.21
2015-03-30#1:20 PM#51#69#10#1194.28
2015-03-30#9:53 PM#68#84#2#3886.99
2015-03-30#5:49 PM#18#31#4#4700.48
